;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;MARZO;DEFUNCION;FEMENINO;ALEMANIA;BAVIERA;1
2;2024;MARZO;DEFUNCION;FEMENINO;ALEMANIA;BERLIN;1
3;2024;MARZO;DEFUNCION;FEMENINO;ALEMANIA;BONN;1
4;2024;MARZO;DEFUNCION;FEMENINO;ALEMANIA;TURINGIA;2
5;2024;MARZO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
6;2024;MARZO;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;1
7;2024;MARZO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
8;2024;MARZO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;2
9;2024;MARZO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;1
10;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;2
11;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;3
12;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;CASMA;1
13;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;7
14;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;HUARI;3
15;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;2
16;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;PALLASCA;2
17;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;RECUAY;2
18;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;SANTA;16
19;2024;MARZO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;2
20;2024;MARZO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
21;2024;MARZO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
22;2024;MARZO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;3
23;2024;MARZO;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
24;2024;MARZO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;77
25;2024;MARZO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;2
26;2024;MARZO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;1
27;2024;MARZO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;2
28;2024;MARZO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;3
29;2024;MARZO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;7
30;2024;MARZO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;4
31;2024;MARZO;DEFUNCION;FEMENINO;ARGENTINA;MENDOZA;1
32;2024;MARZO;DEFUNCION;FEMENINO;AUSTRIA;BAJA AUSTRIA;1
33;2024;MARZO;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
34;2024;MARZO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;11
35;2024;MARZO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;1
36;2024;MARZO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;5
37;2024;MARZO;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;1
38;2024;MARZO;DEFUNCION;FEMENINO;BAHAMAS;NASSAU;2
39;2024;MARZO;DEFUNCION;FEMENINO;BOLIVIA;LA PAZ;1
40;2024;MARZO;DEFUNCION;FEMENINO;BRASIL;RIO DE JANEIRO;1
41;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;4
42;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;21
43;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;3
44;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;2
45;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;4
46;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;3
47;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;1
48;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;3
49;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;SAN PABLO;3
50;2024;MARZO;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;2
51;2024;MARZO;DEFUNCION;FEMENINO;CALLAO;CALLAO;151
52;2024;MARZO;DEFUNCION;FEMENINO;CHILE;SANTIAGO;9
53;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;2
54;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;ANTA;6
55;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;CALCA;2
56;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;CANAS;1
57;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;CANCHIS;4
58;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;CHUMBIVILCAS;1
59;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;CUSCO;44
60;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;2
61;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;PARURO;1
62;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;PAUCARTAMBO;1
63;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;14
64;2024;MARZO;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;3
65;2024;MARZO;DEFUNCION;FEMENINO;ESPAÑA;BARCELONA;6
66;2024;MARZO;DEFUNCION;FEMENINO;ESPAÑA;MADRID;7
67;2024;MARZO;DEFUNCION;FEMENINO;ESPAÑA;TOLEDO;1
68;2024;MARZO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;CAROLINA DEL NORTE;4
69;2024;MARZO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;FLORIDA;1
70;2024;MARZO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;LOS ANGELES;2
71;2024;MARZO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MIAMI;3
72;2024;MARZO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NUEVA JERSEY;1
73;2024;MARZO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NUEVA YORK;2
74;2024;MARZO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NUEVO MEXICO;1
75;2024;MARZO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;VIRGINIA;2
76;2024;MARZO;DEFUNCION;FEMENINO;FINLANDIA;UUSIMAA;1
77;2024;MARZO;DEFUNCION;FEMENINO;HUANCAVELICA;ACOBAMBA;1
78;2024;MARZO;DEFUNCION;FEMENINO;HUANCAVELICA;ANGARAES;2
79;2024;MARZO;DEFUNCION;FEMENINO;HUANCAVELICA;HUANCAVELICA;6
80;2024;MARZO;DEFUNCION;FEMENINO;HUANCAVELICA;TAYACAJA;2
81;2024;MARZO;DEFUNCION;FEMENINO;HUANUCO;HUAMALIES;2
82;2024;MARZO;DEFUNCION;FEMENINO;HUANUCO;HUANUCO;11
83;2024;MARZO;DEFUNCION;FEMENINO;HUANUCO;LAURICOCHA;1
84;2024;MARZO;DEFUNCION;FEMENINO;HUANUCO;LEONCIO PRADO;9
85;2024;MARZO;DEFUNCION;FEMENINO;HUANUCO;MARAÑON;1
86;2024;MARZO;DEFUNCION;FEMENINO;HUANUCO;PACHITEA;1
87;2024;MARZO;DEFUNCION;FEMENINO;HUANUCO;PUERTO INCA;1
88;2024;MARZO;DEFUNCION;FEMENINO;HUANUCO;YAROWILCA;1
89;2024;MARZO;DEFUNCION;FEMENINO;ICA;CHINCHA;31
90;2024;MARZO;DEFUNCION;FEMENINO;ICA;ICA;64
91;2024;MARZO;DEFUNCION;FEMENINO;ICA;NASCA;6
92;2024;MARZO;DEFUNCION;FEMENINO;ICA;PISCO;10
93;2024;MARZO;DEFUNCION;FEMENINO;ITALIA;LOMBARDIA;4
94;2024;MARZO;DEFUNCION;FEMENINO;ITALIA;PERUGIA;1
95;2024;MARZO;DEFUNCION;FEMENINO;ITALIA;ROMA;8
